camper_id,park_id,park,visit,mountain,beach,cost,time
1,1,Mount Greylock,0,1,0,53.125051179661384,204.0969866614418
1,2,October Mountain,1,1,0,72.14780114217491,262.92203742359305
1,3,Horseneck Beach,0,0,1,97.15061542451417,212.11734573184512
1,4,Salisbury Beach,0,0,1,108.29602455480563,181.25467456304307
1,5,Scusset Beach,0,0,1,107.12704924239193,151.80864968208633
2,1,Mount Greylock,0,1,0,72.38418486879286,389.15761319534255
2,2,October Mountain,0,1,0,88.68013682297415,351.84684811173366
2,3,Horseneck Beach,0,0,1,87.4486839209925,58.74050896813033
2,4,Salisbury Beach,1,0,1,101.34350784609076,40.1590663137199
2,5,Scusset Beach,0,0,1,103.14390221927985,61.35546907106962
3,1,Mount Greylock,1,1,0,62.46479058582203,393.84653503808437
3,2,October Mountain,0,1,0,78.1505106601129,306.4506503957893
3,3,Horseneck Beach,0,0,1,88.85231177657253,86.70864583554828
3,4,Salisbury Beach,0,0,1,110.06708909629988,198.65096359768822
3,5,Scusset Beach,0,0,1,102.46479179356612,89.52219045315529
4,1,Mount Greylock,0,1,0,52.86995125188673,184.48632809761455
4,2,October Mountain,0,1,0,69.53704645332468,211.10780423791184
4,3,Horseneck Beach,0,0,1,99.04093599709033,214.3114711011348
4,4,Salisbury Beach,0,0,1,110.01972120922395,212.92844758504864
4,5,Scusset Beach,1,0,1,108.73178158928856,186.78950304047981
5,1,Mount Greylock,0,1,0,53.00948280946087,105.41597592978393
5,2,October Mountain,1,1,0,71.95829862959833,121.68830960518909
5,3,Horseneck Beach,0,0,1,116.04279036805033,323.26721103204153
5,4,Salisbury Beach,0,0,1,131.98457973780077,273.38128488696265
5,5,Scusset Beach,0,0,1,129.71641127494067,233.97901263547325
6,1,Mount Greylock,0,1,0,59.92154522084722,335.39106099368894
6,2,October Mountain,0,1,0,77.0455278659792,320.26034540033584
6,3,Horseneck Beach,0,0,1,90.88819921935877,100.57195874398384
6,4,Salisbury Beach,0,0,1,120.87204982728414,326.4630156500228
6,5,Scusset Beach,1,0,1,104.30913301176065,102.56558991053075
7,1,Mount Greylock,1,1,0,63.218400169385234,317.15793621746735
7,2,October Mountain,0,1,0,133.56931833944742,928.9020925129338
7,3,Horseneck Beach,0,0,1,89.05577068373503,71.76462228547999
7,4,Salisbury Beach,0,0,1,107.24236676475381,110.49145119629976
7,5,Scusset Beach,0,0,1,105.43694614863308,112.34393291244754
8,1,Mount Greylock,0,1,0,75.72374931802621,324.75487729850795
8,2,October Mountain,0,1,0,95.68353436476791,307.4668923586574
8,3,Horseneck Beach,1,0,1,102.50608969085494,166.76240723647766
8,4,Salisbury Beach,0,0,1,103.48402984863094,46.26859842439244
8,5,Scusset Beach,0,0,1,102.10615188546603,46.0670071284106
9,1,Mount Greylock,1,1,0,49.84153418977544,143.50312461260364
9,2,October Mountain,0,1,0,69.1183510890709,151.10167486823016
9,3,Horseneck Beach,0,0,1,95.7602147587917,173.99006013795417
9,4,Salisbury Beach,0,0,1,111.98877703250115,193.76984772436418
9,5,Scusset Beach,0,0,1,110.63350786586881,190.27383153893217
10,1,Mount Greylock,0,1,0,64.34918684418864,176.71718754632911
10,2,October Mountain,1,1,0,68.8562396147704,67.84016355881126
10,3,Horseneck Beach,0,0,1,128.52883871219242,288.51996303269283
10,4,Salisbury Beach,0,0,1,141.87122098977002,297.53177988338
10,5,Scusset Beach,0,0,1,138.53045608793522,311.1835412546566
11,1,Mount Greylock,0,1,0,76.71462421846856,265.04187708112335
11,2,October Mountain,0,1,0,95.13906282469375,250.51318635335716
11,3,Horseneck Beach,0,0,1,101.81229590782688,122.554026792234
11,4,Salisbury Beach,0,0,1,110.77604009363922,81.74560040620483
11,5,Scusset Beach,1,0,1,110.52108402306182,103.43970364350007
12,1,Mount Greylock,0,1,0,51.85102511561628,171.12736389635734
12,2,October Mountain,0,1,0,68.6025310496014,168.57070606596454
12,3,Horseneck Beach,0,0,1,99.6860295160049,301.4930157681417
12,4,Salisbury Beach,0,0,1,114.75839293811937,265.56967855076937
12,5,Scusset Beach,1,0,1,110.8470756477487,222.05054005395368
13,1,Mount Greylock,1,1,0,62.833702005151245,323.3416973456812
13,2,October Mountain,0,1,0,79.42803162491865,232.2394721961752
13,3,Horseneck Beach,0,0,1,93.00650126297168,119.81368536548084
13,4,Salisbury Beach,0,0,1,106.88456620965844,97.91620258068636
13,5,Scusset Beach,0,0,1,106.26203892512972,139.48984523582044
14,1,Mount Greylock,0,1,0,72.9448283772598,252.73198741721524
14,2,October Mountain,1,1,0,90.86625118306964,299.12475314680165
14,3,Horseneck Beach,0,0,1,94.4749541942505,100.5380352769919
14,4,Salisbury Beach,0,0,1,109.4561837188044,95.97989784760671
14,5,Scusset Beach,0,0,1,111.34836790962952,104.46824815359147
15,1,Mount Greylock,0,1,0,100.616197011911,888.1235220112658
15,2,October Mountain,0,1,0,67.7159357504776,125.9707101487647
15,3,Horseneck Beach,0,0,1,131.53768940900395,735.3695780022151
15,4,Salisbury Beach,1,0,1,117.50887316347664,237.16529764702983
15,5,Scusset Beach,0,0,1,116.7520668575799,294.922385816389
16,1,Mount Greylock,0,1,0,43.64605035608154,48.755237417082114
16,2,October Mountain,1,1,0,69.260150017043,161.99194107057048
16,3,Horseneck Beach,0,0,1,108.23250755806345,391.153551630593
16,4,Salisbury Beach,0,0,1,121.11699631040278,311.57919321910424
16,5,Scusset Beach,0,0,1,119.69898340268617,321.2137288334311
17,1,Mount Greylock,0,1,0,41.658839358681185,31.445875229824516
17,2,October Mountain,1,1,0,58.56374545355967,7.7531871394883245
17,3,Horseneck Beach,0,0,1,104.90018043330494,313.57943328214975
17,4,Salisbury Beach,0,0,1,120.03644259197021,411.8433713253047
17,5,Scusset Beach,0,0,1,118.74126473360074,301.74501639908607
18,1,Mount Greylock,0,1,0,64.5331045276234,284.06499435081946
18,2,October Mountain,0,1,0,87.54286577095137,406.9419858931012
18,3,Horseneck Beach,0,0,1,91.2258266317506,100.72408508167918
18,4,Salisbury Beach,1,0,1,106.37894459254555,104.44324677518735
18,5,Scusset Beach,0,0,1,105.21569800996448,98.49487398018816
19,1,Mount Greylock,0,1,0,56.891474133693904,280.8061529030989
19,2,October Mountain,0,1,0,70.37304857279587,169.35654503159586
19,3,Horseneck Beach,1,0,1,98.440950150974885,252.37176884267723
19,4,Salisbury Beach,0,0,1,117.62210323428371,292.27854432240497
19,5,Scusset Beach,0,0,1,171.67015852584865,1154.9595291536339
20,1,Mount Greylock,0,1,0,59.09311925252054,140.54028247470566
20,2,October Mountain,0,1,0,79.38380330283096,158.80431141178346
20,3,Horseneck Beach,0,0,1,109.8934514857007,219.50067865506003
20,4,Salisbury Beach,1,0,1,124.92614291069971,205.64288881377175
20,5,Scusset Beach,0,0,1,134.46630841421648,283.2274011695753
21,1,Mount Greylock,0,1,0,68.6917094951744,320.75628936733534
21,2,October Mountain,1,1,0,78.96576987569358,253.62222259179703
21,3,Horseneck Beach,0,0,1,94.47117293637059,125.06112825502221
21,4,Salisbury Beach,0,0,1,110.05303394453497,156.34242969181423
21,5,Scusset Beach,0,0,1,113.13212719303449,198.77983273564166
22,1,Mount Greylock,1,1,0,80.88348822477852,483.1183366323101
22,2,October Mountain,0,1,0,92.79985273831883,364.3793093805964
22,3,Horseneck Beach,0,0,1,94.4757814469468,101.62269911612539
22,4,Salisbury Beach,0,0,1,108.42359761254384,102.98297700521415
22,5,Scusset Beach,0,0,1,123.34550051412171,238.12649294778163
23,1,Mount Greylock,0,1,0,55.91639201118795,284.6701068881989
23,2,October Mountain,0,1,0,105.4043048451538,778.7369936425206
23,3,Horseneck Beach,1,0,1,90.17510906126243,126.4576012670329
23,4,Salisbury Beach,0,0,1,104.36187952661002,100.1280012178957
23,5,Scusset Beach,0,0,1,105.47233465684452,134.94340248852285
24,1,Mount Greylock,0,1,0,81.40902434090378,357.6584677607633
24,2,October Mountain,0,1,0,93.36564239148281,272.71431423322457
24,3,Horseneck Beach,1,0,1,97.48005020702212,130.75116874318982
24,4,Salisbury Beach,0,0,1,111.10486638851424,85.8275888629326
24,5,Scusset Beach,0,0,1,118.69004306510432,146.24636848019856
25,1,Mount Greylock,0,1,0,71.56919571114912,396.53825413905247
25,2,October Mountain,1,1,0,99.8172566614579,421.89991379875835
25,3,Horseneck Beach,0,0,1,94.28908716769524,131.25646956052583
25,4,Salisbury Beach,0,0,1,126.52954213460653,387.31527163862717
25,5,Scusset Beach,0,0,1,102.40677154892985,73.96962947275843
26,1,Mount Greylock,0,1,0,44.48508245099271,74.45678028732199
26,2,October Mountain,0,1,0,65.72106223275114,107.1379904764081
26,3,Horseneck Beach,0,0,1,102.27391764737959,352.3195834088833
26,4,Salisbury Beach,1,0,1,116.97900866844137,286.15604037646125
26,5,Scusset Beach,0,0,1,117.43049488974951,377.66183679497476
27,1,Mount Greylock,1,1,0,43.46359779190738,56.96590410369652
27,2,October Mountain,0,1,0,61.19457084364467,53.20772915921669
27,3,Horseneck Beach,0,0,1,113.7590242299888,500.40631460644016
27,4,Salisbury Beach,0,0,1,119.48833702637094,409.58564681171504
27,5,Scusset Beach,0,0,1,118.64598430133303,285.3569064835679
28,1,Mount Greylock,0,1,0,44.927693630951964,88.24824558837747
28,2,October Mountain,1,1,0,69.73704254327318,135.2732238225938
28,3,Horseneck Beach,0,0,1,107.94938087539298,321.6675699154604
28,4,Salisbury Beach,0,0,1,121.64977831840035,316.9222423877315
28,5,Scusset Beach,0,0,1,124.28458137942584,380.6274032193226
29,1,Mount Greylock,1,1,0,48.8989140988439,116.37454112214114
29,2,October Mountain,0,1,0,75.07346431615622,186.39013958114464
29,3,Horseneck Beach,0,0,1,106.82094957904596,225.88513686278273
29,4,Salisbury Beach,0,0,1,121.7691642272823,283.16857237111566
29,5,Scusset Beach,0,0,1,122.6197313278683,355.98716765040973
30,1,Mount Greylock,0,1,0,53.4673404492745,264.9840623698973
30,2,October Mountain,1,1,0,72.08840961853592,250.19315257189393
30,3,Horseneck Beach,0,0,1,91.50738572949356,124.97374057687755
30,4,Salisbury Beach,0,0,1,106.02142185930094,140.99377158855552
30,5,Scusset Beach,0,0,1,109.34171204183433,216.41646081524698
31,1,Mount Greylock,0,1,0,53.96479659577416,199.9047079234223
31,2,October Mountain,1,1,0,65.88345310079904,79.349476360246
31,3,Horseneck Beach,0,0,1,109.6067065432006,295.74577435580113
31,4,Salisbury Beach,0,0,1,124.8149709803157,285.77730001710745
31,5,Scusset Beach,0,0,1,123.2541809213819,321.184949978546
32,1,Mount Greylock,0,1,0,69.52907013996997,312.28890172683043
32,2,October Mountain,0,1,0,93.59655718102668,312.61640652455367
32,3,Horseneck Beach,1,0,1,90.9104629031131,70.10423130738316
32,4,Salisbury Beach,0,0,1,106.31487089165168,89.78130252448618
32,5,Scusset Beach,0,0,1,108.0615124169062,107.76678644596574
33,1,Mount Greylock,0,1,0,80.83417063523608,375.55003541917426
33,2,October Mountain,0,1,0,98.31854688584852,309.15553675844575
33,3,Horseneck Beach,0,0,1,91.38687464804892,67.64664859067919
33,4,Salisbury Beach,1,0,1,104.82695622884683,71.54631007982455
33,5,Scusset Beach,0,0,1,103.88033502845327,67.97173313833405
34,1,Mount Greylock,0,1,0,66.88088250644657,378.5119032831251
34,2,October Mountain,0,1,0,83.01709013506562,306.99719613575434
34,3,Horseneck Beach,0,0,1,86.58592898964706,43.39042047259903
34,4,Salisbury Beach,0,0,1,102.40729996586128,63.18822269441365
34,5,Scusset Beach,1,0,1,147.60675729985346,827.4448151698377
35,1,Mount Greylock,1,1,0,51.484882402118565,137.62422685803435
35,2,October Mountain,0,1,0,80.84789754994463,333.50999735376126
